" Product ID ","Product Name"," REGION","Units Sold"," Unit Price ","Total Sales","Profit Margin","Sale Date"
"1","  AlphaWidget","North","10","$12.50","$125.00","10%","2020-01-03"
"2","betawidget ","south","twenty","12.5","250.0","0.10","01/03/2020"
"3","Gamma Widget"," EAST","1,000","$1,234.56","$1,234,560","8 perscent","3 Jan 2020"
"4","","west","5","€10,00","50,00€","ten percent","20200104"
"5","DeltaWidget","North","","15","","5.5%","Mar 5 2019"
"6"," epsilon","South","7","$0","0","0%","2019-12-31"
"7","Zeta","east ","twenty five","$25.00","625","0.25","2019/12/30"
"8","Eta"," West","3","12,50","37,50","8%","12-31-2019"
"9","Theta","NORTH","2","$5","$10","0.1","2019.12.29"
"10","Iota","south","8","$9.99","79.92","8 persent",""
"11","  AlphaWidget","North","10","$12.50","$125.00","10%","2020-01-03"
"12","betawidget ","south","twenty","12.5","250.0","0.10","01/03/2020"
"13","Gamma Widget"," EAST","1,000","$1,234.56","$1,234,560","8 perscent","3 Jan 2020"
"14","","west","5","€10,00","50,00€","ten percent","20200104"
"15","DeltaWidget","North","","15","","5.5%","Mar 5 2019"
"16"," epsilon","South","7","$0","0","0%","2019-12-31"
"17","Zeta","east ","twenty five","$25.00","625","0.25","2019/12/30"
"18","Eta"," West","3","12,50","37,50","8%","12-31-2019"
"19","Theta","NORTH","2","$5","$10","0.1","2019.12.29"
"20","Iota","south","8","$9.99","79.92","8 persent",""
"21","  AlphaWidget","North","10","$12.50","$125.00","10%","2020-01-03"
"22","betawidget ","south","twenty","12.5","250.0","0.10","01/03/2020"
"23","Gamma Widget"," EAST","1,000","$1,234.56","$1,234,560","8 perscent","3 Jan 2020"
"24","","west","5","€10,00","50,00€","ten percent","20200104"
"25","DeltaWidget","North","","15","","5.5%","Mar 5 2019"
"26"," epsilon","South","7","$0","0","0%","2019-12-31"
"27","Zeta","east ","twenty five","$25.00","625","0.25","2019/12/30"
"28","Eta"," West","3","12,50","37,50","8%","12-31-2019"
"29","Theta","NORTH","2","$5","$10","0.1","2019.12.29"
"30","Iota","south","8","$9.99","79.92","8 persent",""
"31","  AlphaWidget","North","10","$12.50","$125.00","10%","2020-01-03"
"32","betawidget ","south","twenty","12.5","250.0","0.10","01/03/2020"
"33","Gamma Widget"," EAST","1,000","$1,234.56","$1,234,560","8 perscent","3 Jan 2020"
"34","","west","5","€10,00","50,00€","ten percent","20200104"
"35","DeltaWidget","North","","15","","5.5%","Mar 5 2019"
"36"," epsilon","South","7","$0","0","0%","2019-12-31"
"37","Zeta","east ","twenty five","$25.00","625","0.25","2019/12/30"
"38","Eta"," West","3","12,50","37,50","8%","12-31-2019"
"39","Theta","NORTH","2","$5","$10","0.1","2019.12.29"
"40","Iota","south","8","$9.99","79.92","8 persent",""
"41","  AlphaWidget","North","10","$12.50","$125.00","10%","2020-01-03"
"42","betawidget ","south","twenty","12.5","250.0","0.10","01/03/2020"
"43","Gamma Widget"," EAST","1,000","$1,234.56","$1,234,560","8 perscent","3 Jan 2020"
"44","","west","5","€10,00","50,00€","ten percent","20200104"
"45","DeltaWidget","North","","15","","5.5%","Mar 5 2019"
"46"," epsilon","South","7","$0","0","0%","2019-12-31"
"47","Zeta","east ","twenty five","$25.00","625","0.25","2019/12/30"
"48","Eta"," West","3","12,50","37,50","8%","12-31-2019"
"49","Theta","NORTH","2","$5","$10","0.1","2019.12.29"
"50","Iota","south","8","$9.99","79.92","8 persent",""
"51","  AlphaWidget","North","10","$12.50","$125.00","10%","2020-01-03"
